Iteration,Progress
1,0.001
2,0.001
3,0.002
4,0.003
5,0.003
6,0.004
7,0.005
8,0.005
9,0.006
10,0.007
11,0.008
12,0.008
13,0.009
14,0.01
15,0.01
16,0.011
17,0.012
18,0.012
19,0.013
20,0.014
21,0.014
22,0.015
23,0.016
24,0.016
25,0.017
26,0.018
27,0.018
28,0.019
29,0.02
30,0.02
31,0.021
32,0.022
33,0.023
34,0.023
35,0.024
36,0.025
37,0.025
38,0.026
39,0.027
40,0.027
41,0.028
42,0.029
43,0.029
44,0.03
45,0.031
46,0.031
47,0.032
48,0.033
49,0.033
50,0.034
51,0.035
52,0.035
53,0.036
54,0.037
55,0.038
56,0.038
57,0.039
58,0.04
59,0.04
60,0.041
61,0.042
62,0.042
63,0.043
64,0.044
65,0.044
66,0.045
67,0.046
68,0.046
69,0.047
70,0.048
71,0.048
72,0.049
73,0.05
74,0.05
75,0.051
76,0.052
77,0.053
78,0.053
79,0.054
80,0.055
81,0.055
82,0.056
83,0.057
84,0.057
85,0.058
86,0.059
87,0.059
88,0.06
89,0.061
90,0.061
91,0.062
92,0.063
93,0.063
94,0.064
95,0.065
96,0.065
97,0.066
98,0.067
99,0.068
100,0.068
101,0.069
102,0.07
103,0.07
104,0.071
105,0.072
106,0.072
107,0.073
108,0.074
109,0.074
110,0.075
111,0.076
112,0.076
113,0.077
114,0.078
115,0.078
116,0.079
117,0.08
118,0.08
119,0.081
120,0.082
121,0.083
122,0.083
123,0.084
124,0.085
125,0.085
126,0.086
127,0.087
128,0.087
129,0.088
130,0.089
131,0.089
132,0.09
133,0.091
134,0.091
135,0.092
136,0.093
137,0.093
138,0.094
139,0.095
140,0.096
141,0.096
142,0.097
143,0.098
144,0.098
145,0.099
146,0.1
147,0.1
148,0.101
149,0.102
150,0.102
151,0.103
152,0.104
153,0.104
154,0.105
155,0.106
156,0.106
157,0.107
158,0.108
159,0.108
160,0.109
161,0.11
162,0.111
163,0.111
164,0.112
165,0.113
166,0.113
167,0.114
168,0.115
169,0.115
170,0.116
171,0.117
172,0.117
173,0.118
174,0.119
175,0.119
176,0.12
177,0.121
178,0.121
179,0.122
180,0.123
181,0.123
182,0.124
183,0.125
184,0.126
185,0.126
186,0.127
187,0.128
188,0.128
189,0.129
190,0.13
191,0.13
192,0.131
193,0.132
194,0.132
195,0.133
196,0.134
197,0.134
198,0.135
199,0.136
200,0.136
201,0.137
202,0.138
203,0.138
204,0.139
205,0.14
206,0.141
207,0.141
208,0.142
209,0.143
210,0.143
211,0.144
212,0.145
213,0.145
214,0.146
215,0.147
216,0.147
217,0.148
218,0.149
219,0.149
220,0.15
221,0.151
222,0.151
223,0.152
224,0.153
225,0.153
226,0.154
227,0.155
228,0.156
229,0.156
230,0.157
231,0.158
232,0.158
233,0.159
234,0.16
235,0.16
236,0.161
237,0.162
238,0.162
239,0.163
240,0.164
241,0.164
242,0.165
243,0.166
244,0.166
245,0.167
246,0.168
247,0.169
248,0.169
249,0.17
250,0.171
251,0.171
252,0.172
253,0.173
254,0.173
255,0.174
256,0.175
257,0.175
258,0.176
259,0.177
260,0.177
261,0.178
262,0.179
263,0.179
264,0.18
265,0.181
266,0.181
267,0.182
268,0.183
269,0.184
270,0.184
271,0.185
272,0.186
273,0.186
274,0.187
275,0.188
276,0.188
277,0.189
278,0.19
279,0.19
280,0.191
281,0.192
282,0.192
283,0.193
284,0.194
285,0.194
286,0.195
287,0.196
288,0.196
289,0.197
290,0.198
291,0.199
292,0.199
293,0.2
294,0.201
295,0.201
296,0.202
297,0.203
298,0.203
299,0.204
300,0.205
301,0.205
302,0.206
303,0.207
304,0.207
305,0.208
306,0.209
307,0.209
308,0.21
309,0.211
310,0.211
311,0.212
312,0.213
313,0.214
314,0.214
315,0.215
316,0.216
317,0.216
318,0.217
319,0.218
320,0.218
321,0.219
322,0.22
323,0.22
324,0.221
325,0.222
326,0.222
327,0.223
328,0.224
329,0.224
330,0.225
331,0.226
332,0.226
333,0.227
334,0.228
335,0.229
336,0.229
337,0.23
338,0.231
339,0.231
340,0.232
341,0.233
342,0.233
343,0.234
344,0.235
345,0.235
346,0.236
347,0.237
348,0.237
349,0.238
350,0.239
351,0.239
352,0.24
353,0.241
354,0.241
355,0.242
356,0.243
357,0.244
358,0.244
359,0.245
360,0.246
361,0.246
362,0.247
363,0.248
364,0.248
365,0.249
366,0.25
367,0.25
368,0.251
369,0.252
370,0.252
371,0.253
372,0.254
373,0.254
374,0.255
375,0.256
376,0.257
377,0.257
378,0.258
379,0.259
380,0.259
381,0.26
382,0.261
383,0.261
384,0.262
385,0.263
386,0.263
387,0.264
388,0.265
389,0.265
390,0.266
391,0.267
392,0.267
393,0.268
394,0.269
395,0.269
396,0.27
397,0.271
398,0.272
399,0.272
400,0.273
401,0.274
402,0.274
403,0.275
404,0.276
405,0.276
406,0.277
407,0.278
408,0.278
409,0.279
410,0.28
411,0.28
412,0.281
413,0.282
414,0.282
415,0.283
416,0.284
417,0.284
418,0.285
419,0.286
420,0.287
421,0.287
422,0.288
423,0.289
424,0.289
425,0.29
426,0.291
427,0.291
428,0.292
429,0.293
430,0.293
431,0.294
432,0.295
433,0.295
434,0.296
435,0.297
436,0.297
437,0.298
438,0.299
439,0.299
440,0.3
441,0.301
442,0.302
443,0.302
444,0.303
445,0.304
446,0.304
447,0.305
448,0.306
449,0.306
450,0.307
451,0.308
452,0.308
453,0.309
454,0.31
455,0.31
456,0.311
457,0.312
458,0.312
459,0.313
460,0.314
461,0.314
462,0.315
463,0.316
464,0.317
465,0.317
466,0.318
467,0.319
468,0.319
469,0.32
470,0.321
471,0.321
472,0.322
473,0.323
474,0.323
475,0.324
476,0.325
477,0.325
478,0.326
479,0.327
480,0.327
481,0.328
482,0.329
483,0.329
484,0.33
485,0.331
486,0.332
487,0.332
488,0.333
489,0.334
490,0.334
491,0.335
492,0.336
493,0.336
494,0.337
495,0.338
496,0.338
497,0.339
498,0.34
499,0.34
500,0.341
501,0.342
502,0.342
503,0.343
504,0.344
505,0.345
506,0.345
507,0.346
508,0.347
509,0.347
510,0.348
511,0.349
512,0.349
513,0.35
514,0.351
515,0.351
516,0.352
517,0.353
518,0.353
519,0.354
520,0.355
521,0.355
522,0.356
523,0.357
524,0.357
525,0.358
526,0.359
527,0.36
528,0.36
529,0.361
530,0.362
531,0.362
532,0.363
533,0.364
534,0.364
535,0.365
536,0.366
537,0.366
538,0.367
539,0.368
540,0.368
541,0.369
542,0.37
543,0.37
544,0.371
545,0.372
546,0.372
547,0.373
548,0.374
549,0.375
550,0.375
551,0.376
552,0.377
553,0.377
554,0.378
555,0.379
556,0.379
557,0.38
558,0.381
559,0.381
560,0.382
561,0.383
562,0.383
563,0.384
564,0.385
565,0.385
566,0.386
567,0.387
568,0.387
569,0.388
570,0.389
571,0.39
572,0.39
573,0.391
574,0.392
575,0.392
576,0.393
577,0.394
578,0.394
579,0.395
580,0.396
581,0.396
